Date,Latitude,Longitude,Accident_Severity,Random_column
2022-01-01,49.0004755193,2.4158276267,Low,4
2022-01-01,47.8396131975,1.9313365985,High,2
2022-01-15,43.2933679801,5.3713178089,,2
2022-01-15,50.3688559795,3.0782789767,Medium,1
2022-01-01,50.4224480493,2.9458531597,High,3
2022-01-01,50.4224480493,2.9458531597,Medium,3
2022-01-01,50.4224480493,2.9458531597,Low,1
2022-01-01,50.4224480493,2.9458531597,Medium,4
2022-01-01,50.4224480493,2.9458531597,Medium,1
2022-01-01,50.4224480493,2.9458531597,Low,1
2022-01-01,50.4224480493,2.9458531597,Low,3
2022-01-01,50.4224480493,2.9458531597,Low,3
2022-01-01,50.4224480493,2.9458531597,Low,1
2022-01-01,50.4188358673,2.9470660861,Low,2
2022-01-01,50.4188358673,2.9470660861,High,3
2022-01-01,50.4188358673,2.9470660861,Low,3
,43.6195677694,6.5507886435,High,1
2022-01-14,43.3030342488,5.3769470907,Low,4
2022-01-15,45.7604299366,4.8489109384,High,5
2022-01-01,49.2379479877,4.0224481183,Low,1
2022-01-01,45.7391753531,4.8655758148,Medium,1
2022-01-01,43.4475263599,5.6822566628,High,3
2022-11-01,48.8706640457,2.3046726504,Low,1
2022-11-01,48.8706640457,2.3046726504,Low,4
2022-05-01,48.9399270481,2.3554679434,Low,5
2022-11-01,48.877784277,2.3163485454,Low,3
2022-01-15,44.0140492443,1.3562480737,Low,2
2022-01-15,43.3025079055,5.3814353191,Low,4
2022-01-01,45.7990764598,3.1141867978,High,1
2022-01-15,43.6057866298,1.4486256928,Low,3
2022-02-01,47.4715544303,6.8524565728,Medium,5
2022-10-01,47.2419990067,6.020998488,Low,2
2022-01-15,50.994268755,2.2198762417,Low,5
2022-01-15,44.6117664129,4.4093499992,High,1
2022-10-01,49.4861649577,0.1101643768,Medium,3
2022-10-01,49.4861649577,0.1101643768,Low,4
2022-01-15,14.6190569481,-60.9946175555,Low,3
2022-01-15,48.8928163379,2.2304646222,Low,3
2022-01-14,46.9042558647,6.3521758124,,3
2022-01-15,45.7217498108,4.8264546754,Low,1
2022-01-15,45.7217498108,4.8264546754,Low,3
2022-06-01,48.8583670537,2.3130324532,Low,1
2022-01-01,,2.901379206,Low,1
2022-01-01,43.7016808581,-1.0397774022,Low,5
2022-01-15,50.3591552743,3.5124717613,Low,3
2022-01-15,50.3591552743,3.5124717613,Medium,3
2022-01-14,50.7309283177,1.6289844777,Medium,1
2022-01-15,44.8327569837,-0.5796965348,Low,3
2022-01-15,50.6542055658,3.0854615395,Low,1
2022-01-15,47.2305370644,2.0574415322,Medium,3
2022-11-01,47.6132096201,6.1381276315,Medium,5
2022-08-01,48.7284890087,2.2880591724,Medium,5
2022-01-14,,5.377699348,Medium,5
2022-01-15,43.7054539407,7.2846192201,Low,1
2022-02-01,46.1912193073,6.2097756304,High,1
,50.3792762201,3.0731941756,Medium,2
